Omega_Lambda,N_BH,N_BH_norm,T_int,T_int_norm,F,F_norm
0.010000,5.902228e-01,1.000000,2.302585,0.994880,1.359038e+00,1.000000
0.034103,5.748469e-01,0.973949,2.303142,0.995121,1.323954e+00,0.974185
0.058205,5.593838e-01,0.947750,2.303617,0.995325,1.288606e+00,0.948175
0.082308,5.438308e-01,0.921399,2.304050,0.995513,1.253013e+00,0.921985
0.106410,5.281841e-01,0.894889,2.304456,0.995688,1.217177e+00,0.895617
0.130513,5.124500e-01,0.868231,2.304842,0.995855,1.181116e+00,0.869082
0.154615,4.966363e-01,0.841439,2.305213,0.996015,1.144852e+00,0.842399
0.178718,4.807498e-01,0.814523,2.305571,0.996170,1.108403e+00,0.815579
0.202821,4.647903e-01,0.787483,2.305918,0.996320,1.071768e+00,0.788623
0.226923,4.487579e-01,0.760320,2.306256,0.996466,1.034951e+00,0.761532
0.251026,4.326576e-01,0.733041,2.306586,0.996609,9.979620e-01,0.734315
0.275128,4.165090e-01,0.705681,2.306909,0.996748,9.608484e-01,0.707006
0.299231,4.003092e-01,0.678234,2.307225,0.996885,9.236034e-01,0.679601
0.323333,3.887530e-01,0.658655,2.307536,0.997019,8.970615e-01,0.660071
0.347436,3.677821e-01,0.623124,2.307841,0.997151,8.487826e-01,0.624547
0.371538,3.514799e-01,0.595504,2.308141,0.997280,8.112652e-01,0.596941
0.395641,3.351700e-01,0.567870,2.308437,0.997408,7.737188e-01,0.569314
0.419744,3.188537e-01,0.540226,2.308728,0.997534,7.361465e-01,0.541667
0.443846,3.025443e-01,0.512593,2.309016,0.997658,6.985796e-01,0.514025
0.467949,2.862717e-01,0.485023,2.309300,0.997781,6.610872e-01,0.486438
0.492051,2.700345e-01,0.457513,2.309580,0.997902,6.236663e-01,0.458903
0.516154,2.538622e-01,0.430113,2.309857,0.998022,5.863854e-01,0.431471
0.540256,2.377714e-01,0.402850,2.310131,0.998140,5.492831e-01,0.404170
0.564359,2.217843e-01,0.375764,2.310402,0.998257,5.124109e-01,0.377039
0.588462,2.059168e-01,0.348880,2.310671,0.998373,4.758060e-01,0.350105
0.612564,1.902065e-01,0.322262,2.310937,0.998488,4.395552e-01,0.323431
0.636667,1.784983e-01,0.302425,2.311200,0.998602,4.125453e-01,0.303557
0.660769,1.593716e-01,0.270019,2.311461,0.998715,3.683812e-01,0.271060
0.684872,1.443110e-01,0.244503,2.311719,0.998827,3.336065e-01,0.245472
0.708974,1.295366e-01,0.219471,2.311976,0.998937,2.994855e-01,0.220366
0.733077,1.187824e-01,0.201250,2.312230,0.999047,2.746522e-01,0.202093
0.757179,1.010501e-01,0.171207,2.312482,0.999156,2.336765e-01,0.171943
0.781282,3.943768e-02,0.066818,2.312733,0.999264,9.120882e-02,0.067113
0.805385,3.138891e-02,0.053181,2.312981,0.999372,7.260195e-02,0.053422
0.829487,3.464851e-02,0.058704,2.313228,0.999478,8.014990e-02,0.058975
0.853590,3.464820e-02,0.058704,2.313473,0.999584,8.015768e-02,0.058981
0.877692,2.584478e-02,0.043788,2.313716,0.999689,5.979748e-02,0.044000
0.901795,1.800869e-02,0.030512,2.313957,0.999793,4.167133e-02,0.030662
0.925897,1.635132e-02,0.027704,2.314197,0.999897,3.784018e-02,0.027843
0.950000,1.308641e-02,0.022172,2.314435,1.000000,3.028765e-02,0.022286
