Omega_Lambda,N_BH_raw,N_BH_normalized
0.010000,5.902228e-01,1.000000
0.034103,5.748469e-01,0.973949
0.058205,5.593838e-01,0.947750
0.082308,5.438308e-01,0.921399
0.106410,5.281841e-01,0.894889
0.130513,5.124500e-01,0.868231
0.154615,4.966363e-01,0.841439
0.178718,4.807498e-01,0.814523
0.202821,4.647903e-01,0.787483
0.226923,4.487579e-01,0.760320
0.251026,4.326576e-01,0.733041
0.275128,4.165090e-01,0.705681
0.299231,4.003092e-01,0.678234
0.323333,3.887530e-01,0.658655
0.347436,3.677821e-01,0.623124
0.371538,3.514799e-01,0.595504
0.395641,3.351700e-01,0.567870
0.419744,3.188537e-01,0.540226
0.443846,3.025443e-01,0.512593
0.467949,2.862717e-01,0.485023
0.492051,2.700345e-01,0.457513
0.516154,2.538622e-01,0.430113
0.540256,2.377714e-01,0.402850
0.564359,2.217843e-01,0.375764
0.588462,2.059168e-01,0.348880
0.612564,1.902065e-01,0.322262
0.636667,1.784983e-01,0.302425
0.660769,1.593716e-01,0.270019
0.684872,1.443110e-01,0.244503
0.708974,1.295366e-01,0.219471
0.733077,1.187824e-01,0.201250
0.757179,1.010501e-01,0.171207
0.781282,3.943768e-02,0.066818
0.805385,3.138891e-02,0.053181
0.829487,3.464851e-02,0.058704
0.853590,3.464820e-02,0.058704
0.877692,2.584478e-02,0.043788
0.901795,1.800869e-02,0.030512
0.925897,1.635132e-02,0.027704
0.950000,1.308641e-02,0.022172
