Omega_Lambda,Phi_eff_W_Gyr,t_iso_Gyr,T_int_raw,T_int_normalized
0.010000,1.065079e+23,NaN,2.302585,0.994880
0.034103,1.064486e+23,NaN,2.303142,0.995121
0.058205,1.063981e+23,NaN,2.303617,0.995325
0.082308,1.063520e+23,NaN,2.304050,0.995513
0.106410,1.063088e+23,NaN,2.304456,0.995688
0.130513,1.062678e+23,NaN,2.304842,0.995855
0.154615,1.062284e+23,NaN,2.305213,0.996015
0.178718,1.061904e+23,NaN,2.305571,0.996170
0.202821,1.061535e+23,NaN,2.305918,0.996320
0.226923,1.061176e+23,195.21,2.306256,0.996466
0.251026,1.060826e+23,186.62,2.306586,0.996609
0.275128,1.060484e+23,179.03,2.306909,0.996748
0.299231,1.060149e+23,172.44,2.307225,0.996885
0.323333,1.059820e+23,166.45,2.307536,0.997019
0.347436,1.059496e+23,161.26,2.307841,0.997151
0.371538,1.059178e+23,156.47,2.308141,0.997280
0.395641,1.058865e+23,152.07,2.308437,0.997408
0.419744,1.058556e+23,148.08,2.308728,0.997534
0.443846,1.058252e+23,144.28,2.309016,0.997658
0.467949,1.057952e+23,140.89,2.309300,0.997781
0.492051,1.057655e+23,137.69,2.309580,0.997902
0.516154,1.057362e+23,134.90,2.309857,0.998022
0.540256,1.057072e+23,132.10,2.310131,0.998140
0.564359,1.056785e+23,129.51,2.310402,0.998257
0.588462,1.056502e+23,127.11,2.310671,0.998373
0.612564,1.056221e+23,124.71,2.310937,0.998488
0.636667,1.055943e+23,122.72,2.311200,0.998602
0.660769,1.055668e+23,120.52,2.311461,0.998715
0.684872,1.055395e+23,118.72,2.311719,0.998827
0.708974,1.055124e+23,116.73,2.311976,0.998937
0.733077,1.054856e+23,115.13,2.312230,0.999047
0.757179,1.054590e+23,113.33,2.312482,0.999156
0.781282,1.054326e+23,111.73,2.312733,0.999264
0.805385,1.054064e+23,110.33,2.312981,0.999372
0.829487,1.053804e+23,108.74,2.313228,0.999478
0.853590,1.053546e+23,107.34,2.313473,0.999584
0.877692,1.053290e+23,106.14,2.313716,0.999689
0.901795,1.053036e+23,104.74,2.313957,0.999793
0.925897,1.052783e+23,103.55,2.314197,0.999897
0.950000,1.052532e+23,102.35,2.314435,1.000000
