Omega_Lambda,N_BH_norm,T_int_norm,F_raw,F_norm
0.010000,0.000000,0.060167,0.000000,0.000000
0.037647,0.254821,0.149592,0.038119,0.038119
0.065294,0.258700,0.153146,0.039619,0.039619
0.092941,0.262750,0.156359,0.041083,0.041083
0.120588,0.266983,0.159363,0.042547,0.042547
0.148235,0.271415,0.177629,0.048211,0.048211
0.175882,0.276059,0.180874,0.049932,0.049932
0.203529,0.280936,0.184026,0.051700,0.051700
0.231176,0.286064,0.187102,0.053523,0.053523
0.258824,0.291466,0.190117,0.055413,0.055413
0.286471,0.297167,0.211860,0.062958,0.062958
0.314118,0.303197,0.215298,0.065278,0.065278
0.341765,0.309587,0.218699,0.067706,0.067706
0.369412,0.316377,0.222067,0.070257,0.070257
0.397059,0.323609,0.247525,0.080101,0.080101
0.424706,0.331333,0.246429,0.081650,0.081650
0.452353,0.339609,0.243633,0.082740,0.082740
0.480000,0.348506,0.240615,0.083856,0.083856
0.507647,0.358106,0.261414,0.093614,0.093614
0.535294,0.368507,0.259609,0.095668,0.095668
0.562941,0.379828,0.282821,0.107423,0.107423
0.590588,0.392214,0.280666,0.110081,0.110081
0.618235,0.405845,0.279656,0.113497,0.113497
0.645882,0.420946,0.305787,0.128720,0.128720
0.673529,0.437805,0.304567,0.133341,0.133341
0.701176,0.456794,0.333599,0.152386,0.152386
0.728824,0.478409,0.365109,0.174671,0.174671
0.756471,0.503326,0.365557,0.183994,0.183994
0.784118,0.532494,0.399960,0.212976,0.212976
0.811765,0.567304,0.439851,0.249529,0.249529
0.839412,0.609885,0.482263,0.294125,0.294125
0.867059,0.663728,0.579560,0.384670,0.384670
0.894706,0.735063,0.637106,0.468313,0.468313
0.922353,0.836554,0.764704,0.639716,0.639716
0.950000,1.000000,1.000000,1.000000,1.000000
