Omega_Lambda,N_BH_v3_density_raw,N_BH_v3_density_norm
0.010000,0.000000e+00,0.000000
0.037647,2.699422e+00,0.254821
0.065294,2.740517e+00,0.258700
0.092941,2.783418e+00,0.262750
0.120588,2.828263e+00,0.266983
0.148235,2.875204e+00,0.271415
0.175882,2.924408e+00,0.276059
0.203529,2.976066e+00,0.280936
0.231176,3.030389e+00,0.286064
0.258824,3.087614e+00,0.291466
0.286471,3.148011e+00,0.297167
0.314118,3.211884e+00,0.303197
0.341765,3.279584e+00,0.309587
0.369412,3.351507e+00,0.316377
0.397059,3.428116e+00,0.323609
0.424706,3.509944e+00,0.331333
0.452353,3.597615e+00,0.339609
0.480000,3.691863e+00,0.348506
0.507647,3.793558e+00,0.358106
0.535294,3.903741e+00,0.368507
0.562941,4.023670e+00,0.379828
0.590588,4.154884e+00,0.392214
0.618235,4.299283e+00,0.405845
0.645882,4.459255e+00,0.420946
0.673529,4.637842e+00,0.437805
0.701176,4.838999e+00,0.456794
0.728824,5.067977e+00,0.478409
0.756471,5.331931e+00,0.503326
0.784118,5.640927e+00,0.532494
0.811765,6.009677e+00,0.567304
0.839412,6.460762e+00,0.609885
0.867059,7.031136e+00,0.663728
0.894706,7.786815e+00,0.735063
0.922353,8.861952e+00,0.836554
0.950000,1.059340e+01,1.000000
